blknr,bez,bezname,plr,blktypname,ewk,area,datum,fid,verbrauch_,ausgeschlo,verbrauc_1,ausgesch_1,verbrauc_2,ausgesch_2,fid_2,schl5,ew2021,flalle,ew_ha_2021,typklar
"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,135480.859375000000000,1999/07/12 00:00:00.000,1,,Keine Angabe zum Verbrauch verfügbar,,Keine Angabe zum Verbrauch verfügbar,,,2,"0700190171000300",0,77412.670881495694630,0.000000000000000,Kleingartenanlage
"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000,2,1372.378999999999905,,1625.944999999999936,,1301.378999999999905,,5,"0700190331000000",9,22903.962938741598919,3.930000000000000,"Gewerbe- und Industriegebiet, großflächiger Einzelhandel, dichte Bebauung"
"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,177086.625000000000000,1998/10/08 00:00:00.000,3,13693.441999999999098,,14427.602000000000771,,10891.403000000000247,,6,"0700196091000100",0,84645.581491655495483,0.000000000000000,"Gewerbe- und Industriegebiet, großflächiger Einzelhandel, geringe Bebauung"
"019692","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,96460.437500000000000,2007/05/21 00:00:00.000,4,1581.243999999999915,,1575.339999999999918,,1320.416999999999916,,9,"0700196921000000",0,96781.416843893195619,0.000000000000000,"Gewerbe- und Industriegebiet, großflächiger Einzelhandel, geringe Bebauung"
"019708","04",Charlottenburg-Wilmersdorf,"04300518",Block,10-99 Einwohner,16879.630859375000000,2006/03/10 00:00:00.000,5,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,224.141999999999996,,196.408999999999992,,52,"0700209021000100",0,36024.455881878297077,0.000000000000000,Gleiskörper
"019742","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,183565.937500000000000,2005/02/18 00:00:00.000,6,4864.507999999999811,,5671.894000000000233,,5325.489999999999782,,14,"0700197421000400",3,18504.819807706200663,1.620000000000000,"Gewerbe- und Industriegebiet, großflächiger Einzelhandel, dichte Bebauung"
"019759","04",Charlottenburg-Wilmersdorf,"04300517",Block,unbewohnt,8620.879882812500000,1994/11/24 00:00:00.000,2,1372.378999999999905,,1625.944999999999936,,1301.378999999999905,,5,"0700190331000000",9,22903.962938741598919,3.930000000000000,"Gewerbe- und Industriegebiet, großflächiger Einzelhandel, dichte Bebauung"
"019760","04",Charlottenburg-Wilmersdorf,"04300517",Block,unbewohnt,1435.945556640625000,1994/11/24 00:00:00.000,8,,Keine Angabe zum Verbrauch verfügbar,,Keine Angabe zum Verbrauch verfügbar,,,16,"0700197601000000",0,1434.586323825380077,0.000000000000000,Stadtplatz / Promenade
"019901","04",Charlottenburg-Wilmersdorf,"04300518",Bahnblock,unbewohnt,25851.810546875000000,1994/11/24 00:00:00.000,4,1581.243999999999915,,1575.339999999999918,,1320.416999999999916,,9,"0700196921000000",0,96781.416843893195619,0.000000000000000,"Gewerbe- und Industriegebiet, großflächiger Einzelhandel, geringe Bebauung"
"020020","04",Charlottenburg-Wilmersdorf,"04300517",Block,unbewohnt,4897.128906250000000,1994/11/24 00:00:00.000,11,,Keine Angabe zum Verbrauch verfügbar,,Keine Angabe zum Verbrauch verfügbar,,,18,"0700200201000100",0,2167.181436545839915,0.000000000000000,Kleingartenanlage
"020021","04",Charlottenburg-Wilmersdorf,"04300517",Block,unbewohnt,5655.184570312500000,1994/11/24 00:00:00.000,12,,Keine Angabe zum Verbrauch verfügbar,,Keine Angabe zum Verbrauch verfügbar,,,51,"0700206911000000",823,35366.810103444302513,232.699999999999989,"Freie Zeilenbebauung mit landschaftlichem Siedlungsgrün (1950er - 1970er), 2 - 6-geschossig"
"020022","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,4956.509277343750000,1994/11/24 00:00:00.000,13,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,,,20,"0700200221000000",240,4845.592737252850384,495.300000000000011,"Blockrandbebauung mit Großhöfen (1920er - 1940er), 2 - 5-geschossig"
"020023","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,6848.019531250000000,1994/11/24 00:00:00.000,14,34.491000000000000,,57.911000000000001,,43.369999999999997,,21,"0700200231000000",222,6786.274322237991328,327.129999999999995,"Blockrandbebauung mit Großhöfen (1920er - 1940er), 2 - 5-geschossig"
"020027","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,14053.184570312500000,1993/06/30 00:00:00.000,15,1266.009000000000015,,1489.636999999999944,,1307.496000000000095,,22,"0700200271000000",715,14099.306532898199293,507.120000000000005,"Geschlossene Blockbebauung, Hinterhof (1870er - 1918), 5-geschossig"
"020028","04",Charlottenburg-Wilmersdorf,"04300517",Block,10-99 Einwohner,3348.633789062500000,1994/10/19 00:00:00.000,16,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,306.858000000000004,,264.725999999999999,,23,"0700200281000000",9,3244.433359601230222,27.739999999999998,Kirche
"020029","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,6372.918457031250000,1993/06/30 00:00:00.000,17,82.094999999999999,,74.859999999999999,,74.739999999999995,,24,"0700200291000000",321,6283.461556609989202,510.860000000000014,"Blockrandbebauung mit Großhöfen (1920er - 1940er), 2 - 5-geschossig"
"020030","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,6492.959960937500000,2003/06/18 00:00:00.000,18,38.353000000000002,,40.326999999999998,,38.128999999999998,,25,"0700200301000000",299,6199.333005089089966,482.310000000000002,"Blockrandbebauung mit Großhöfen (1920er - 1940er), 2 - 5-geschossig"
"020035","04",Charlottenburg-Wilmersdorf,"04300517",Block,100-999 Einwohner,18004.087890625000000,1993/06/30 00:00:00.000,19,13.602000000000000,,14.218999999999999,,14.657000000000000,,26,"0700200351000000",206,17880.728325321499142,115.209999999999994,Verwaltung
