blknr,bez,bezname,plr,blktypname,ewk,area,datum,schl5,ew2022,flalle,ew_ha_2022,alter_u6,alter_6_u1,alter_10_u,alter_18_u,alter_65_u,alter_70_u,alter75_u8,alter_80pl,typklar
"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,135480.859375000000000,1999/07/12 00:00:00.000,"0700190171000200","0",15254.747628999999506,0.000000000000000,,,,,,,,,Kleingartenanlage
"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000,"0700190331000000","9",22903.962939000000915,3.930000000000000,"0","0","0","9","0","0","0","0","Gewerbe- und Industriegebiet, großflächiger Einzelhandel, dichte Bebauung"
"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,177086.625000000000000,1998/10/08 00:00:00.000,"0700196091000100","0",84645.581491999997525,0.000000000000000,,,,,,,,,"Gewerbe- und Industriegebiet, großflächiger Einzelhandel, geringe Bebauung"
"019692","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,96460.437500000000000,2007/05/21 00:00:00.000,"0700196921000000","0",96780.641713000004529,0.000000000000000,,,,,,,,,"Gewerbe- und Industriegebiet, großflächiger Einzelhandel, geringe Bebauung"
"019708","04",Charlottenburg-Wilmersdorf,"04300518",Block,10-99 Einwohner,16879.630859375000000,2006/03/10 00:00:00.000,"0700197081000000","21",18417.740827000001445,11.400000000000000,"3","0","0","18","0","0","0","0",Parkplatz
"019742","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,183565.937500000000000,2005/02/18 00:00:00.000,"0700197421000100","3",103497.816976000001887,0.290000000000000,"0","0","0","0","0","0","0","3",Kleingartenanlage
"019759","04",Charlottenburg-Wilmersdorf,"04300517",Block,unbewohnt,8620.879882812500000,1994/11/24 00:00:00.000,"0700190331000000","9",22903.962939000000915,3.930000000000000,"0","0","0","9","0","0","0","0","Gewerbe- und Industriegebiet, großflächiger Einzelhandel, dichte Bebauung"
"019760","04",Charlottenburg-Wilmersdorf,"04300517",Block,unbewohnt,1435.945556640625000,1994/11/24 00:00:00.000,"0700197601000000","0",1434.586397000000034,0.000000000000000,,,,,,,,,Stadtplatz / Promenade
"019901","04",Charlottenburg-Wilmersdorf,"04300518",Bahnblock,unbewohnt,25851.810546875000000,1994/11/24 00:00:00.000,"0700196921000000","0",96780.641713000004529,0.000000000000000,,,,,,,,,"Gewerbe- und Industriegebiet, großflächiger Einzelhandel, geringe Bebauung"
"020020","04",Charlottenburg-Wilmersdorf,"04300517",Block,unbewohnt,4897.128906250000000,1994/11/24 00:00:00.000,"0700200201000100","0",2167.181437000000187,0.000000000000000,,,,,,,,,Kleingartenanlage
