fid,gfk,bezgfk,ofl,bezofl,aog,aug,hoh,bat,bezbat,nam,baw,bezbaw,zus,bezzus,gkn,des,bezdes,lag,namlag,hnr,pnr,lnr,bezeich,uuid,id,gmlid,gmlid_code,name,name_codes,descriptio,creation_d,terminatio,relative_t,relative_1,last_modif,updating_p,reason_for,lineage,building_i
1,,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000JY3,721,UUID_3dafb1af-fdf1-4b44-b4fd-8e776e45f3b3,,,,,2024/02/05 04:16:18.012,,,,2024/02/05 04:16:18.012,citydb_user,,,716
2,,,,,"4",,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE00YYJJ00002T,4365,DEB_LOD2_UUID_f158a36b-509b-4b38-96f6-8862321dae88_04c06d29-e616-403d-b96e-0e1a2463242e,,,,,2024/02/05 04:16:23.827,,,,2024/02/05 04:16:23.827,citydb_user,,,3310
3,,,,,"2",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000KNY,,,,,,,,,,,,,,,
4,"1010",Wohnhaus,,,"6",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004032660024","4200",Aus Katasterkarten digitalisiert,"03266, 04202","Nordhauser Straße 24; Sömmeringstraße 33",,,,AX_Gebaeude,DEBE04YY500004G4,1373,UUID_38132779-2468-4703-aa38-fac9ca51b496,,,,,2024/02/05 04:16:19.467,,,,2024/02/05 04:16:19.467,citydb_user,,,1366
5,"1010",Wohnhaus,,,"7",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004042020022","4200",Aus Katasterkarten digitalisiert,"04202",Sömmeringstraße 22,"22",,,AX_Gebaeude,DEBE04YY500009XJ,2612,DEB_LOD2_UUID_6cd38137-852c-410a-973f-57239a703735_c151302b-a277-4ba7-8286-942a0778ab1c,,,,,2024/02/05 04:16:21.513,,,,2024/02/05 04:16:21.513,citydb_user,,,2597
6,,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000Fwy,,,,,,,,,,,,,,,
7,,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY14h0005M,,,,,,,,,,,,,,,
8,"1010",Wohnhaus,,,"6",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004022890046","4200",Aus Katasterkarten digitalisiert,"02289",Kaiserin-Augusta-Allee 46,"46",,,AX_Gebaeude,DEBE04YY500009BM,773,UUID_3ee7b6e8-2205-45f0-89a4-b883f1d49413,,,,,2024/02/05 04:16:18.074,,,,2024/02/05 04:16:18.074,citydb_user,,,769
9,,,,,"8",,,"1300",Hochhausgebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000Ddt,,,,,,,,,,,,,,,
10,"1010",Wohnhaus,,,"7",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004033440002","4200",Aus Katasterkarten digitalisiert,"03344",Osnabrücker Straße 2,"2",,,AX_Gebaeude,DEBE04YY50000Gm5,614,UUID_6ddfb092-15fe-4e20-8dc7-d9ebc27ab8ae,,,,,2024/02/05 04:16:17.856,,,,2024/02/05 04:16:17.856,citydb_user,,,582
11,,,,,"7",,,"2400",Arkade,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000PTT,,,,,,,,,,,,,,,
12,,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY5000044l,,,,,,,,,,,,,,,
13,,,,,"7",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000Lbv,,,,,,,,,,,,,,,
14,,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000DeV,1635,UUID_61480af1-c2c5-4908-b339-3bcb0d2b9106,,,,,2024/02/05 04:16:19.881,,,,2024/02/05 04:16:19.881,citydb_user,,,1627
15,,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000NnK,,,,,,,,,,,,,,,
16,"2523",Umformer,,,"1",,,,,,,,,,"11000004029560002","4200",Aus Katasterkarten digitalisiert,"02956",Max-Dohrn-Straße,,"2","1",AX_Gebaeude,DEBE04YY50000Rbf,,,,,,,,,,,,,,,
17,,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04AL2Wf00001,,,,,,,,,,,,,,,
18,,,,,"9",,,"1300",Hochhausgebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000Ivr,,,,,,,,,,,,,,,
19,,,,,"7",,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50002Yjq,1510,UUID_de2e9a29-64e3-48aa-87f0-641b23bc60b7,,,,,2024/02/05 04:16:19.637,,,,2024/02/05 04:16:19.637,citydb_user,,,1498
20,"2120",Werkstatt,,,"1",,,,,,,,,,"11000004021430030","4200",Aus Katasterkarten digitalisiert,"02143",Ilsenburger Straße,,"30","3",AX_Gebaeude,DEBE04YY50000Pzz,1252,UUID_07901ccd-8d38-408e-b2bc-ec814c02930f,,,,,2024/02/05 04:16:19.201,,,,2024/02/05 04:16:19.201,citydb_user,,,1245
21,,,,,"18",,,"1300",Hochhausgebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000Nd2,,,,,,,,,,,,,,,
22,,,,,"3",,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000BW3,4422,DEB_LOD2_UUID_712d0715-3b98-4046-8060-35ca8a6af9e1_159fe9ed-fa7d-4b00-ab78-d6e8ca777d94,,,,,2024/02/05 04:16:23.934,,,,2024/02/05 04:16:23.934,citydb_user,,,3379
23,"2460",Gebäude zum Parken,,,"1",,,,,,,,,,"11000004044180036","4200",Aus Katasterkarten digitalisiert,"04418",Tauroggener Straße,,"36","1",AX_Gebaeude,DEBE04YY50000A3t,643,UUID_5cdc7321-2cd1-497b-a54b-0298ad2f73a6,,,,,2024/02/05 04:16:17.890,,,,2024/02/05 04:16:17.890,citydb_user,,,634
24,"2000",Gebäude für Wirtschaft oder Gewerbe,,,"2",,,,,,,,,,"11000004016320049","4200",Aus Katasterkarten digitalisiert,"01632",Goslarer Ufer 49,"49",,,AX_Gebaeude,DEBE04YY50000BfJ,3077,DEB_LOD2_UUID_85a2c113-1bbd-43db-b33e-74046e03f6fa_fff91df5-66df-4e3c-a990-c0f9918d2750,,,,,2024/02/05 04:16:21.856,,,,2024/02/05 04:16:21.856,citydb_user,,,2894
25,"2460",Gebäude zum Parken,,,"1",,,,,,,,,,"11000004021430015","4200",Aus Katasterkarten digitalisiert,"02143",Ilsenburger Straße,,"15","2",AX_Gebaeude,DEBE04YY500006xH,830,UUID_5db72306-dc5d-4e98-ab66-b8ee7d47abeb,,,,,2024/02/05 04:16:18.142,,,,2024/02/05 04:16:18.142,citydb_user,,,795
26,,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY500002Bw,4365,DEB_LOD2_UUID_f158a36b-509b-4b38-96f6-8862321dae88_04c06d29-e616-403d-b96e-0e1a2463242e,,,,,2024/02/05 04:16:23.827,,,,2024/02/05 04:16:23.827,citydb_user,,,3310
27,"1010",Wohnhaus,,,"5",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004030810023","4200",Aus Katasterkarten digitalisiert,"03081, 04418","Mindener Straße 23; Tauroggener Straße 9",,,,AX_Gebaeude,DEBE04YY500004IA,,,,,,,,,,,,,,,
28,"2054",Laden,,,"2",,,,,,,,,,,"1000",Aus Katastervermessung ermittelt,"01484",Gaußstraße 7A,7A,,,AX_Gebaeude,DEBE04AL54V00003,2885,DEB_LOD2_UUID_a227132f-3188-41e9-8478-40461ae4c971_0da2fd6a-9b20-42d0-a431-75cdd13cbb97,,,,,2024/02/05 04:16:21.704,,,,2024/02/05 04:16:21.704,citydb_user,,,2873
29,"3010",Verwaltungsgebäude,,,"1",,,,,,,,,,"11000004051340050","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße 50,"50",,,AX_Gebaeude,DEBE04YY50000DNe,,,,,,,,,,,,,,,
30,"1010",Wohnhaus,,,"5",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004044240100","4200",Aus Katasterkarten digitalisiert,"04424",Tegeler Weg 100,"100",,,AX_Gebaeude,DEBE04YY50000MFN,1722,UUID_0f30927e-3882-4e0f-b189-d5b6774abefa,,,,,2024/02/05 04:16:19.977,,,,2024/02/05 04:16:19.977,citydb_user,,,1715
31,"1010",Wohnhaus,,,"6",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004032660003","4200",Aus Katasterkarten digitalisiert,"03266",Nordhauser Straße 3,"3",,,AX_Gebaeude,DEBE04YY50000AW4,640,UUID_c3b78edb-d1c2-473e-bc48-2c1c993c063d,,,,,2024/02/05 04:16:17.891,,,,2024/02/05 04:16:17.891,citydb_user,,,616
