blknr,bez,bezname,plr,blktypname,ewk,area,datum,fid,gfk,bezgfk,ofl,bezofl,aog,aug,hoh,bat,bezbat,nam,baw,bezbaw,zus,bezzus,gkn,des,bezdes,lag,namlag,hnr,pnr,lnr,bezeich,uuid
"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,135480.859375000000000,1999/07/12 00:00:00.000,317,"1000",Wohngebäude,,,"1",,,,,,,,,,"11000004051340038","9998",Nach Quellenlage nicht zu spezifizieren,"05134",Lise-Meitner-Straße,,"38",,AX_Gebaeude,DEBE04YY50000PeF
"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000,264,,,,,"4",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000B7C
"019609","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,177086.625000000000000,1998/10/08 00:00:00.000,44,"2100",Gebäude für Gewerbe und Industrie,,,"3",,,,,,,,,,,"1000",Aus Katastervermessung ermittelt,"05134",Lise-Meitner-Straße,,"45","3",AX_Gebaeude,DEBE00YY1ic0006m
"019692","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,96460.437500000000000,2007/05/21 00:00:00.000,143,"2020",Bürogebäude,,,"3",,,,,,,,,,"11000004051340030","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße 30,"30",,,AX_Gebaeude,DEBE04YY50000R0d
"019708","04",Charlottenburg-Wilmersdorf,"04300518",Block,10-99 Einwohner,16879.630859375000000,2006/03/10 00:00:00.000,385,"1010",Wohnhaus,,,"3",,,,,,"1200",Freistehender Gebäudeblock,,,"11000004029560003","4200",Aus Katasterkarten digitalisiert,"02956",Max-Dohrn-Straße 3,"3",,,AX_Gebaeude,DEBE04YY500008UE
"019742","04",Charlottenburg-Wilmersdorf,"04300518",Block,100-999 Einwohner,183565.937500000000000,2005/02/18 00:00:00.000,915,"1010",Wohnhaus,,,"5",,,,,,"2500",Gebäudeblock in geschlossener Bauweise,,,"11000004021430017","4200",Aus Katasterkarten digitalisiert,"02143, 02289","Ilsenburger Straße 17; Kaiserin-Augusta-Allee 41",,,,AX_Gebaeude,DEBE04YY50000Q0Z
"019759","04",Charlottenburg-Wilmersdorf,"04300517",Block,unbewohnt,8620.879882812500000,1994/11/24 00:00:00.000,573,"3010",Verwaltungsgebäude,,,"1",,,,,NGA,,,,,"11000004070800017","4200",Aus Katasterkarten digitalisiert,"07080",Mierendorffplatz 17,"17",,,AX_Gebaeude,DEBE04YY50000A3p
"019760","04",Charlottenburg-Wilmersdorf,"04300517",Block,unbewohnt,1435.945556640625000,1994/11/24 00:00:00.000,1031,"2591",Pumpwerk (nicht für Wasserversorgung),,,"1",,,,,,,,,,"11000004070800001","4200",Aus Katasterkarten digitalisiert,"07080",Mierendorffplatz 1,"1",,,AX_Gebaeude,DEBE04YY50000BBT
"019901","04",Charlottenburg-Wilmersdorf,"04300518",Bahnblock,unbewohnt,25851.810546875000000,1994/11/24 00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,
"020020","04",Charlottenburg-Wilmersdorf,"04300517",Block,unbewohnt,4897.128906250000000,1994/11/24 00:00:00.000,159,"3065","Kinderkrippe, Kindergarten, Kindertagesstätte",,,"1",,,,,Sonderkindertagesstätte,,,,,"11000004033120015","4200",Aus Katasterkarten digitalisiert,"03312",Olbersstraße 15,"15",,,AX_Gebaeude,DEBE04YY500006Bh
