fid,gfk,bezgfk,ofl,bezofl,aog,aug,hoh,bat,bezbat,nam,baw,bezbaw,zus,bezzus,gkn,des,bezdes,lag,namlag,hnr,pnr,lnr,bezeich,uuid,id,gmlid,gmlid_code,name,name_codes,descriptio,creation_d,terminatio,relative_t,relative_1,last_modif,updating_p,reason_for,lineage,building_i,blknr,bez,bezname,plr,blktypname,ewk,area,datum
"29","3010",Verwaltungsgebäude,,,"1",,,,,,,,,,"11000004051340050","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße 50,"50",,,AX_Gebaeude,DEBE04YY50000DNe,,,,,,,,,,,,,,,,"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"135480.859375000000000",1999/07/12 00:00:00.000
"317","1000",Wohngebäude,,,"1",,,,,,,,,,"11000004051340038","9998",Nach Quellenlage nicht zu spezifizieren,"05134",Lise-Meitner-Straße,,"38",,AX_Gebaeude,DEBE04YY50000PeF,,,,,,,,,,,,,,,,"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"135480.859375000000000",1999/07/12 00:00:00.000
"419","2523",Umformer,,,"1",,,,,,,,,,"11000004051340050","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße,,"50","4",AX_Gebaeude,DEBE04YY50000Dkp,,,,,,,,,,,,,,,,"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"135480.859375000000000",1999/07/12 00:00:00.000
"713","2143","Lagerhalle, Lagerschuppen, Lagerhaus",,,"1",,,,,,,,,,"11000004051340050","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße,,"50","1",AX_Gebaeude,DEBE04YY50000A5h,,,,,,,,,,,,,,,,"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"135480.859375000000000",1999/07/12 00:00:00.000
"781","1000",Wohngebäude,,,"1",,,,,,,,,,"11000004051340050","9998",Nach Quellenlage nicht zu spezifizieren,"05134",Lise-Meitner-Straße,,"50","3",AX_Gebaeude,DEBE04YY500002Dk,,,,,,,,,,,,,,,,"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"135480.859375000000000",1999/07/12 00:00:00.000
"787","1000",Wohngebäude,,,"1",,,,,,,,,,"11000004051340050","9998",Nach Quellenlage nicht zu spezifizieren,"05134",Lise-Meitner-Straße,,"50","5",AX_Gebaeude,DEBE04YY50000EEG,,,,,,,,,,,,,,,,"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"135480.859375000000000",1999/07/12 00:00:00.000
"1020","1000",Wohngebäude,,,"1",,,,,,,,,,"11000004051340044","9998",Nach Quellenlage nicht zu spezifizieren,"05134",Lise-Meitner-Straße,,"44","1",AX_Gebaeude,DEBE04YY50000NkJ,,,,,,,,,,,,,,,,"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"135480.859375000000000",1999/07/12 00:00:00.000
"1045","1010",Wohnhaus,,,"1",,,,,,"9999",Sonstiges,,,"11000004051340050","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße,,"50","2",AX_Gebaeude,DEBE04YY50000Obo,,,,,,,,,,,,,,,,"019017","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,"135480.859375000000000",1999/07/12 00:00:00.000
"47","2142",Speichergebäude,,,"1",,,,,,,,,,"11000004051340003","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße,,"3","2",AX_Gebaeude,DEBE04YY50000JJU,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"50",,,,,"2",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY15J00008,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"63",,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY500001vB,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"68","2142",Speichergebäude,,,"2",,,,,,,,,,"11000004051340003","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße,,"3","3",AX_Gebaeude,DEBE04YY500003H4,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"115",,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YYNv0000C1,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"191",,,,,"3",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000Rrd,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"192",,,,,"3",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YYNv0000C8,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"264",,,,,"4",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000B7C,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"267","2120",Werkstatt,,,"3",,,,,,,,,,"11000004051340003","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße,,"3","4",AX_Gebaeude,DEBE04YY50000PWf,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"277","2200",Sonstiges Gebäude für Gewerbe und Industrie,,,"6",,,,,,,,,,"11000004023750002","4200",Aus Katasterkarten digitalisiert,"02375",Keplerstraße 2,"2",,,AX_Gebaeude,DEBE04YY50000Qyp,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"314","2020",Bürogebäude,,,"8",,true,,,,,,,,"11000004051340001","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße 1,"1",,,AX_Gebaeude,DEBE04YY500007aH,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"315","2200",Sonstiges Gebäude für Gewerbe und Industrie,,,"2",,,,,,,,,,"11000004023750004","4200",Aus Katasterkarten digitalisiert,"02375",Keplerstraße,,"4","1",AX_Gebaeude,DEBE04YY50000A1M,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"320","1130",Wohngebäude mit Gewerbe und Industrie,,,"4",,,,,,,,,,,"1000",Aus Katastervermessung ermittelt,"05134","Lise-Meitner-Straße 7, 9",,,,AX_Gebaeude,DEBE00YYNv0000Bv,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"352",,,,,"1",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE04YY50000RiC,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"398",,,,,"7",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY15J00003,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"480",,,,,"2",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY15J00007,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"514",,,,,"5",,,"1100",Geringergeschossiger Gebäudeteil,,,,,,,,,,,,,,AX_Bauteil,DEBE00YYNv0000C2,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"562","2200",Sonstiges Gebäude für Gewerbe und Industrie,,,"4",,,,,,,,,,"11000004051340003","4200",Aus Katasterkarten digitalisiert,"05134",Lise-Meitner-Straße 3,"3",,,AX_Gebaeude,DEBE04YY50000NMQ,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"595","2143","Lagerhalle, Lagerschuppen, Lagerhaus",,,"6",,,,,,,,,,,"1000",Aus Katastervermessung ermittelt,"05134",Lise-Meitner-Straße,,"7","1",AX_Gebaeude,DEBE00YYNv0000By,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"618",,,,,"3",,,"2500",Auskragende/zurückspringende Geschosse,,,,,,,,,,,,,,AX_Bauteil,DEBE00YY15J00001,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
"642","2200",Sonstiges Gebäude für Gewerbe und Industrie,,,"2",,,,,,,,,,"11000004023750012","4200",Aus Katasterkarten digitalisiert,"02375",Keplerstraße 12,"12",,,AX_Gebaeude,DEBE04YY500007XO,,,,,,,,,,,,,,,,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,"22794.015625000000000",1996/10/11 00:00:00.000
