id,gmlid,gmlid_code,name,name_codes,descriptio,creation_d,terminatio,relative_t,relative_1,last_modif,updating_p,reason_for,lineage,building_i,blknr,bez,bezname,plr,blktypname,ewk,area,datum
744,UUID_9dc7996f-9839-4530-adfe-4bb8b7d450ea,,,,,2024/02/05 04:16:18.036,,,,2024/02/05 04:16:18.036,citydb_user,,,724,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000
751,UUID_6031f158-3981-46ee-a25d-d85ade20649b,,,,,2024/02/05 04:16:18.049,,,,2024/02/05 04:16:18.049,citydb_user,,,725,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000
757,UUID_26390fa4-26df-4af0-b200-017b041f77dd,,,,,2024/02/05 04:16:18.054,,,,2024/02/05 04:16:18.054,citydb_user,,,727,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000
763,UUID_90dd7f02-f6ee-412d-b885-1afbdbc7d293,,,,,2024/02/05 04:16:18.062,,,,2024/02/05 04:16:18.062,citydb_user,,,731,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000
780,UUID_756e11c8-fa06-47bb-82db-234413e9c77d,,,,,2024/02/05 04:16:18.084,,,,2024/02/05 04:16:18.084,citydb_user,,,752,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000
940,UUID_cb4f838e-f3ac-4bae-8902-ae166d173299,,,,,2024/02/05 04:16:18.282,,,,2024/02/05 04:16:18.282,citydb_user,,,925,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000
946,UUID_43458446-da96-4167-97a6-800d539aa382,,,,,2024/02/05 04:16:18.287,,,,2024/02/05 04:16:18.287,citydb_user,,,941,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000
959,UUID_5ee7398d-ab9b-4597-8cfb-d5f206ec69c5,,,,,2024/02/05 04:16:18.299,,,,2024/02/05 04:16:18.299,citydb_user,,,939,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000
964,UUID_1e67f38d-40ec-4fdf-ba38-8fd5d46d85e9,,,,,2024/02/05 04:16:18.305,,,,2024/02/05 04:16:18.305,citydb_user,,,934,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000
971,UUID_190b66e5-9280-4a50-bf04-9d531af6a6c3,,,,,2024/02/05 04:16:18.312,,,,2024/02/05 04:16:18.312,citydb_user,,,950,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000
972,UUID_9c323e27-999e-4d14-9cdd-14ef09d1053b,,,,,2024/02/05 04:16:18.314,,,,2024/02/05 04:16:18.314,citydb_user,,,938,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000
1005,UUID_ea6c26ec-546d-43df-b588-45c1c9c71d4c,,,,,2024/02/05 04:16:18.352,,,,2024/02/05 04:16:18.352,citydb_user,,,979,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000
1343,UUID_b918dc70-5930-4f76-ab53-a3da09a783e8,,,,,2024/02/05 04:16:19.408,,,,2024/02/05 04:16:19.408,citydb_user,,,1338,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000
1357,UUID_691b4a2a-ea49-4495-91f7-391757882ecc,,,,,2024/02/05 04:16:19.440,,,,2024/02/05 04:16:19.440,citydb_user,,,1332,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000
2103,UUID_d9d65f34-5618-4f58-8378-521289086e7a,,,,,2024/02/05 04:16:20.841,,,,2024/02/05 04:16:20.841,citydb_user,,,2102,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000
2152,UUID_dd1a2ba6-ec53-4459-89af-30bf9137a24f,,,,,2024/02/05 04:16:21.051,,,,2024/02/05 04:16:21.051,citydb_user,,,2142,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000
2365,DEB_LOD2_UUID_41a05bed-7244-4daf-81d1-5c8cd0132efa_2745a1ad-4b9a-46aa-9a09-a8b377eb0588,,,,,2024/02/05 04:16:21.314,,,,2024/02/05 04:16:21.314,citydb_user,,,2351,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000
3168,DEB_LOD2_UUID_d199cab8-8f03-4b56-ac54-366dae42f6d9_2f08bd4f-3a46-4227-bafb-c521cc6b37ec,,,,,2024/02/05 04:16:21.929,,,,2024/02/05 04:16:21.929,citydb_user,,,3125,"019033","04",Charlottenburg-Wilmersdorf,"04300517",Block,1-9 Einwohner,22794.015625000000000,1996/10/11 00:00:00.000
1600,UUID_667fc060-83d4-4027-a6d9-64e29f9a5196,,,,,2024/02/05 04:16:19.842,,,,2024/02/05 04:16:19.842,citydb_user,,,1598,"019692","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,96460.437500000000000,2007/05/21 00:00:00.000
1616,UUID_d10d8dfb-535b-4632-b114-93ac55849c82,,,,,2024/02/05 04:16:19.859,,,,2024/02/05 04:16:19.859,citydb_user,,,1610,"019692","04",Charlottenburg-Wilmersdorf,"04300518",Block,unbewohnt,96460.437500000000000,2007/05/21 00:00:00.000
