id;building;year;retrofit;area;gml_id
0;AB;1900;0.0;5408.7658203125;DEBE3D04YY50000BlO
1;AB;1905;0.0;5541.606958007812;DEBE3D04YY50000Rac
2;IWU Transport;1905;0.0;20.259301757812498;DEBE3D04YY50000DCT
3;AB;1905;0.0;1333.9388671875;DEBE3D04YY50000Lev
4;AB;1905;0.0;3838.749829101562;DEBE3D04YY500002JB
5;AB;1955;0.0;3657.7000366210937;DEBE3D04YY5000035o
6;AB;1905;0.0;3996.1322265625;DEBE3D04YY50000Neh
7;IWU Transport;1905;0.0;49.659423828125;DEBE3D04YY50000R2f
8;IWU Technical and Utility (supply and disposal);1905;0.0;6.3305908203125;DEBE3D04YY50000IyF
9;AB;1905;0.0;1136.3715576171874;DEBE3D04YY500002ZF
10;AB;1905;0.0;3540.5753906249997;DEBE3D04YY50000AcP
11;AB;1905;0.0;1857.336328125;DEBE3D04YY50000GXe
12;IWU Trade Buildings;1905;0.0;34.12119140625;DEBE3D04YY500005l3
13;AB;1905;0.0;5350.59892578125;DEBE3D04YY50000Ct5
14;AB;1905;0.0;1820.5717529296874;DEBE3D04YY50000Peo
15;AB;1905;0.0;6157.177954101562;DEBE3D04YY50000Ncz
16;AB;1905;0.0;5399.71796875;DEBE3D04YY500005Oq
17;IWU Culture and Leisure;1905;0.0;1464.709375;DEBE3D04YY500001GY
18;AB;1955;0.0;5167.15830078125;DEBE3D04YY50000GZe
19;AB;1955;0.0;3922.3573730468747;DEBE3D04YY50000CMU
20;AB;1900;0.0;6278.813867187499;DEBE3D04YY50000QXO
21;AB;1905;0.0;3284.17587890625;DEBE3D04YY500005Lc
22;AB;1905;0.0;1018.3825927734375;DEBE3D04YY50000HML
23;AB;1905;0.0;5476.14990234375;DEBE3D04YY50000RXk
24;AB;1905;0.0;6202.9061279296875;DEBE3D04YY50000Cyx
25;AB;1905;0.0;4249.762597656249;DEBE3D04YY500008VN
26;AB;1905;0.0;1846.1863037109374;DEBE3D04YY500000uD
27;AB;1905;0.0;3792.14052734375;DEBE3D04YY50000JUQ
28;AB;1905;0.0;5602.4296875;DEBE3D04YY50000Jzy
29;AB;1905;0.0;5750.07734375;DEBE3D04YY50000PNl
30;AB;1955;0.0;6322.133569335937;DEBE3D04YY500008AI
31;AB;1905;0.0;6099.483789062499;DEBE3D04YY50000G12
32;AB;1955;0.0;1489.0045166015625;DEBE3D04YY50000PyU
33;IWU Sports Facilities;1905;0.0;10661.168371582029;DEBE3D04YY50000IeR
34;SFH;1905;0.0;92.43729248046874;DEBE3D04YY50000Lg8
35;AB;1905;0.0;2459.189038085937;DEBE3D04YY500008pH
36;IWU Health and Care;1905;0.0;2684.5822265624997;DEBE3D04YY500003I0
37;AB;1905;0.0;5453.21484375;DEBE3D04YY50000IJD
38;AB;1905;0.0;2115.781982421875;DEBE3D00YY1Ha0003w
39;AB;1900;0.0;1314.5019653320312;DEBE3D04YY50000PO8
40;AB;1905;0.0;8117.3306640625;DEBE3D04YY5000058C
41;AB;1905;0.0;6161.8658203125;DEBE3D04YY500007Wv
42;AB;1905;0.0;1609.8169921874999;DEBE3D04YY500005a4
43;AB;1905;0.0;5923.852954101562;DEBE3D04YY500001MA
44;AB;1905;0.0;2702.5772827148435;DEBE3D04YY50000GBo
45;AB;1905;0.0;4064.5306640625;DEBE3D04YY500002Vz
46;AB;1905;0.0;4321.026257324219;DEBE3D04YY500002lt
47;AB;1905;0.0;5740.494921875;DEBE3D04YY500009jQ
48;AB;1905;0.0;5165.71396484375;DEBE3D04YY500009Qd
49;AB;1905;0.0;2146.0204833984376;DEBE3D04YY50000DEj
50;AB;1905;0.0;8661.871874999999;DEBE3D04YY50000COa
51;AB;1905;0.0;6516.32080078125;DEBE3D04YY50000PBN
52;AB;1905;0.0;3570.2340820312497;DEBE3D04YY50000IVk
53;AB;1905;0.0;6934.11572265625;DEBE3D04YY500004IA
54;AB;1905;0.0;7475.17724609375;DEBE3D04YY500006JC
55;AB;1905;0.0;3358.5807617187497;DEBE3D04YY500006oB
56;AB;1905;0.0;7121.481372070312;DEBE3D04YY500001FC
57;TH;1905;0.0;670.0344970703125;DEBE3D04YY500006na
58;AB;1955;0.0;2950.48447265625;DEBE3D04YY50000Mls
59;IWU Transport;1905;0.0;431.0259521484375;DEBE3D04YY50000PbF
60;AB;1905;0.0;4563.87412109375;DEBE3D04YY50000MFN
61;AB;1905;0.0;3348.477258300781;DEBE3D04YY50000ImQ
62;AB;1905;0.0;1335.64384765625;DEBE3D04YY50000Rfo
63;AB;1905;0.0;3097.075231933594;DEBE3D04YY50000AJm
64;AB;1905;0.0;2158.50693359375;DEBE3D04YY50000Rt0
65;AB;1905;0.0;1589.56806640625;DEBE3D04YY50000ERg
66;AB;1905;0.0;5657.66806640625;DEBE3D04YY500001Wu
67;IWU Transport;1905;0.0;49.705908203125;DEBE3D04YY50000LDg
68;AB;1905;0.0;1553.1475585937499;DEBE3D04YY500006iV
69;AB;1905;0.0;2155.748583984375;DEBE3D04YY500002jr
70;AB;1905;0.0;6635.1983642578125;DEBE3D04YY50000FQS
71;IWU Transport;1905;0.0;62.3251708984375;DEBE3D04YY50000JjD
72;AB;1905;0.0;4656.612109375;DEBE3D04YY50000Hsc
73;AB;1905;0.0;1924.9279296875;DEBE3D04YY50000Cyt
