geometry,index_right,blknr,bez,bezname,plr,blktypname,ewk,area,datum
"POLYGON ((384572.59 5820708.222, 384581.81 5820715.964, 384583.787 5820713.246, 384587.69 5820707.88, 384588.955 5820706.141, 384593.018 5820700.555, 384591.907 5820699.612, 384583.855 5820692.781, 384579.312 5820699.008, 384578.032 5820700.763, 384572.59 5820708.222))",22,020040,04,Charlottenburg-Wilmersdorf,04300517,Block,100-999 Einwohner,8999.685546875,1993/11/10 00:00:00.000
"POLYGON ((384548.239 5820775.295, 384545.491 5820783.872, 384544.711 5820786.311, 384542.335 5820793.73, 384546.198 5820795.002, 384548.583 5820795.787, 384553.384 5820797.368, 384555.274 5820791.504, 384556.633 5820787.287, 384557.006 5820787.495, 384559.767 5820778.99, 384554.52 5820777.308, 384552.129 5820776.542, 384548.239 5820775.295))",22,020040,04,Charlottenburg-Wilmersdorf,04300517,Block,100-999 Einwohner,8999.685546875,1993/11/10 00:00:00.000
"POLYGON ((384556.656 5820806.952, 384555.033 5820808.635, 384554.616 5820809.082, 384554.117 5820809.436, 384553.558 5820809.682, 384552.96 5820809.809, 384552.348 5820809.814, 384551.749 5820809.695, 384551.186 5820809.457, 384550.682 5820809.111, 384550.258 5820808.67, 384549.933 5820808.153, 384549.718 5820807.58, 384549.623 5820806.976, 384549.652 5820806.365, 384549.804 5820805.773, 384550.072 5820805.224, 384550.446 5820804.74, 384553.728 5820801.387, 384554.81 5820797.838, 384542.335 5820793.73, 384540.613 5820799.104, 384540.128 5820800.619, 384538.832 5820804.664, 384538.02 5820810.026, 384537.799 5820811.486, 384537.09 5820816.17, 384540.083 5820818.643, 384539.226 5820819.614, 384542.868 5820822.64, 384543.719 5820821.648, 384546.642 5820824.063, 384580.871 5820811.48, 384574.108 5820792.804, 384569.501 5820794.445, 384567.712 5820795.082, 384568.909 5820798.393, 384569.274 5820798.195, 384570.243 5820801.082, 384569.073 5820802.427, 384566.709 5820803.222, 384566.496 5820802.669, 384558.084 5820805.832, 384558.26 5820806.374, 384556.656 5820806.952))",22,020040,04,Charlottenburg-Wilmersdorf,04300517,Block,100-999 Einwohner,8999.685546875,1993/11/10 00:00:00.000
"POLYGON ((384593.468 5820712.973, 384591.048 5820716.218, 384591.386 5820716.567, 384587.848 5820721.034, 384594.948 5820726.995, 384596.276 5820719.337, 384597.564 5820711.905, 384595.266 5820710.34, 384593.468 5820712.973))",22,020040,04,Charlottenburg-Wilmersdorf,04300517,Block,100-999 Einwohner,8999.685546875,1993/11/10 00:00:00.000
"POLYGON ((384567.793 5820714.8, 384567.286 5820716.374, 384576.035 5820723.081, 384578.585 5820719.936, 384581.81 5820715.964, 384572.59 5820708.222, 384567.793 5820714.8))",22,020040,04,Charlottenburg-Wilmersdorf,04300517,Block,100-999 Einwohner,8999.685546875,1993/11/10 00:00:00.000
"POLYGON ((384627.268 5820794.424, 384629.284 5820793.684, 384625.281 5820783.025, 384622.742 5820783.914, 384627.268 5820794.424))",22,020040,04,Charlottenburg-Wilmersdorf,04300517,Block,100-999 Einwohner,8999.685546875,1993/11/10 00:00:00.000
"POLYGON ((384607.313 5820743.348, 384612.226 5820741.829, 384610.289 5820735.501, 384608.997 5820736.8, 384605.652 5820737.764, 384607.313 5820743.348))",22,020040,04,Charlottenburg-Wilmersdorf,04300517,Block,100-999 Einwohner,8999.685546875,1993/11/10 00:00:00.000
"POLYGON ((384572.099 5820739.191, 384562.342 5820731.671, 384560.546 5820737.188, 384559.98 5820738.928, 384555.355 5820753.136, 384567.671 5820758.259, 384567.972 5820757.397, 384567.43 5820757.174, 384572.059 5820743.91, 384572.621 5820744.076, 384573.752 5820740.465, 384572.099 5820739.191))",22,020040,04,Charlottenburg-Wilmersdorf,04300517,Block,100-999 Einwohner,8999.685546875,1993/11/10 00:00:00.000
"POLYGON ((384584.539 5820725.032, 384592.341 5820731.709, 384594.948 5820726.995, 384587.848 5820721.034, 384584.539 5820725.032))",22,020040,04,Charlottenburg-Wilmersdorf,04300517,Block,100-999 Einwohner,8999.685546875,1993/11/10 00:00:00.000
"POLYGON ((384562.073 5820774.128, 384562.784 5820771.993, 384562.989 5820771.43, 384562.467 5820771.352, 384563.185 5820768.951, 384564.228 5820768.27, 384566.491 5820761.895, 384556.569 5820757.594, 384554.233 5820756.581, 384550.512 5820768.198, 384549.836 5820770.31, 384548.239 5820775.295, 384550.825 5820776.124, 384559.767 5820778.99, 384560.359 5820779.181, 384562.073 5820774.128))",22,020040,04,Charlottenburg-Wilmersdorf,04300517,Block,100-999 Einwohner,8999.685546875,1993/11/10 00:00:00.000
