,gml_id,dg_id,address,building_type_gml,year_of_construction,renovation_status,floor_area,height,storeys_above_ground,average_floor_height
5,DEBE3D04YY50000BlO,0,"Germany,Berlin,Charlottenburg-Wilmersdorf,/,Mierendorffplatz",31001_1010,1900,,820.1560389983282,23.22,,2.8
8,DEBE3D04YY50000Rac,1,"Germany,Berlin,Charlottenburg-Wilmersdorf,/,Kamminer Straße",31001_1010,1905,,724.3931230128894,24.421,,2.8
10,DEBE3D04YY50000DCT,2,"Germany,Berlin,Charlottenburg-Wilmersdorf",31001_2463,1905,,23.834601003363808,2.867,,2.8
12,DEBE3D04YY50000Lev,3,"Germany,Berlin,Charlottenburg-Wilmersdorf,Tegeler Weg",31001_1010,1905,,196.1674960029115,22.963,,2.8
14,DEBE3D04YY500002JB,4,"Germany,Berlin,Charlottenburg-Wilmersdorf,Mierendorffstraße",31001_1010,1905,,501.7985349944482,24.448,,2.8
15,DEBE3D04YY5000035o,5,"Germany,Berlin,Charlottenburg-Wilmersdorf,Kamminer Straße",31001_1010,1955,,614.7399379895135,20.377,,2.8
16,DEBE3D04YY50000Neh,6,"Germany,Berlin,Charlottenburg-Wilmersdorf,Tegeler Weg",31001_1010,1905,,587.6659060033014,23.152,,2.8
17,DEBE3D04YY50000R2f,7,"Germany,Berlin,Charlottenburg-Wilmersdorf",31001_2460,1905,,58.42307000131772,3.0,,2.8
21,DEBE3D04YY50000Gm5,8,"Germany,Berlin,Charlottenburg-Wilmersdorf,Osnabrücker Straße",31001_1010,,,244.4644394965103,20.888,,2.8
24,DEBE3D04YY50000IyF,9,"Germany,Berlin,Charlottenburg-Wilmersdorf",31001_2523,1905,,7.448012000011559,2.341,,2.8
25,DEBE3D04YY500002ZF,10,"Germany,Berlin,Charlottenburg-Wilmersdorf,Mierendorffplatz",31001_1010,1905,,190.98690049744056,20.682,,2.8
27,DEBE3D04YY50000AcP,11,"Germany,Berlin,Charlottenburg-Wilmersdorf,Tauroggener Straße",31001_1010,1905,,520.6718939900413,22.458,,2.8
29,DEBE3D04YY50000Kt1,12,"Germany,Berlin,Charlottenburg-Wilmersdorf",31001_2460,,,20.770464999859684,0.424,,2.8
31,DEBE3D04YY50000GXe,13,"Germany,Berlin,Charlottenburg-Wilmersdorf,Mindener Straße",31001_1010,1905,,273.1380239947886,22.792,,2.8
32,DEBE3D04YY500005l3,14,"Germany,Berlin,Charlottenburg-Wilmersdorf",31001_2055,1905,,40.14258349713131,3.448,,2.8
35,DEBE3D04YY50000Ct5,15,"Germany,Berlin,Charlottenburg-Wilmersdorf,Mindener Straße",31001_1010,1905,,786.8541650070263,21.187,,2.8
40,DEBE3D00YY1Y50004P,16,"Germany,Berlin,Charlottenburg-Wilmersdorf",51009_1610,1905,,24.537459501740432,25.449,,2.8
42,DEBE3D04YY50000Peo,17,"Germany,Berlin,Charlottenburg-Wilmersdorf,Tauroggener Straße",31001_1010,1905,,356.9747314920342,16.302,,2.8
44,DEBE3D04YY50002bU7,18,"Germany,Berlin,Charlottenburg-Wilmersdorf",51009_1610,1905,,5.899059000332791,0.138,,2.8
53,DEBE3D04YY50000Ncz,19,"Germany,Berlin,Charlottenburg-Wilmersdorf,Tauroggener Straße",31001_1010,1905,,804.8592220084569,24.418,,2.8
54,DEBE3D04YY500005Oq,20,"Germany,Berlin,Charlottenburg-Wilmersdorf,/,Osnabrücker Straße",31001_1010,1905,,808.8503479991485,22.752,,2.8
61,DEBE3D04YY500001GY,21,"Germany,Berlin,Charlottenburg-Wilmersdorf",31001_3044,1905,,430.7947000018561,10.764,,2.8
62,DEBE3D04YY50000GZe,22,"Germany,Berlin,Charlottenburg-Wilmersdorf,/,Brahestraße",31001_1010,1955,,759.8762620019337,22.09,,2.8
67,DEBE3D04YY50000CMU,23,"Germany,Berlin,Charlottenburg-Wilmersdorf,Kamminer Straße",31001_1010,1955,,659.2186355050069,20.359,,2.8
69,DEBE3D04YY50000KSa,24,"Germany,Berlin,Charlottenburg-Wilmersdorf",31001_2463,,,18.355885001250087,5.778,,2.8
77,DEBE3D04YY50000QXO,25,"Germany,Berlin,Charlottenburg-Wilmersdorf,Mierendorffplatz",31001_1010,1900,,923.3559699880587,22.912,,2.8
78,DEBE3D04YY500005Lc,26,"Germany,Berlin,Charlottenburg-Wilmersdorf,Tauroggener Straße",31001_1010,1905,,482.9667599880776,22.735,,2.8
79,DEBE3D04YY50000HML,27,"Germany,Berlin,Charlottenburg-Wilmersdorf,Osnabrücker Straße",31001_1010,1905,,199.68267400505343,17.707,,2.8
