,gml_id,dg_id,address,building_type_gml,year_of_construction,renovation_status,floor_area,height,storeys_above_ground,average_floor_height
0,DEBE3D04YY500004Nu,0,"Germany,Berlin,Charlottenburg-Wilmersdorf,Eosanderstraße",31001_1010,,,211.6513671875,22.432,,2.8
1,DEBE3D04YY50000R3Q,1,"Germany,Berlin,Charlottenburg-Wilmersdorf,Eosanderstraße",31001_1010,,,218.018310546875,22.555,,2.8
2,DEBE3D04YY50000BpD,2,"Germany,Berlin,Charlottenburg-Wilmersdorf",31001_2463,,,14.9384765625,2.116,,2.8
3,DEBE3D04YY50000Dkg,3,"Germany,Berlin,Charlottenburg-Wilmersdorf,Eosanderstraße",31001_1010,,,279.080810546875,26.605,,2.8
4,DEBE3D04YY50000NHL,4,"Germany,Berlin,Charlottenburg-Wilmersdorf",31001_2460,,,66.046630859375,2.68,,2.8
5,DEBE3D04YY50000BlO,5,"Germany,Berlin,Charlottenburg-Wilmersdorf,/,Mierendorffplatz",31001_1010,,,820.156494140625,23.22,,2.8
6,DEBE3D04YY5000039j,6,"Germany,Berlin,Charlottenburg-Wilmersdorf,/,Eosanderstraße",31001_1010,,,613.47802734375,23.254,,2.8
7,DEBE3D04YY50000Lta,7,"Germany,Berlin,Charlottenburg-Wilmersdorf,Spandauer Damm",31001_1120,,,34.769287109375,9.711,,2.8
8,DEBE3D04YY50000Rac,8,"Germany,Berlin,Charlottenburg-Wilmersdorf,/,Kamminer Straße",31001_1010,,,36.68408203125,24.421,,2.8
9,DEBE3D04YY50000DpU,9,"Germany,Berlin,Charlottenburg-Wilmersdorf,Schloßstraße",31001_1010,,,352.732177734375,15.511,,2.8
10,DEBE3D04YY50000DCT,10,"Germany,Berlin,Charlottenburg-Wilmersdorf",31001_2463,,,23.83447265625,2.867,,2.8
11,DEBE3D04YY50002d4o,11,"Germany,Berlin,Charlottenburg-Wilmersdorf",51009_1610,,,5.614990234375,18.542,,2.8
12,DEBE3D04YY50000Lev,12,"Germany,Berlin,Charlottenburg-Wilmersdorf,Tegeler Weg",31001_1010,,,196.16748046875,22.963,,2.8
13,DEBE3D04YY50000QJa,13,"Germany,Berlin,Charlottenburg-Wilmersdorf,Lohmeyerstraße",31001_1010,,,162.69091796875,23.941,,2.8
