gml_id,dg_id,address,building_type_gml,year_of_construction,renovation_status,floor_area,height,storeys_above_ground
GML_1620fdb2-e7b8-4ad0-998c-8a4ec44aac56,0,,,,,,,
GML_e2c0d3c1-05b7-4323-a9e6-aa8c615d209b,1,,,,,,,
GML_7dbd9005-01aa-41a2-8fe2-5a827bd9407e,2,,,,,,,
GML_1f969c1d-f013-4ebc-b2d0-07993c093001,3,"Singapore,2,Science Drive 3,117542",,,,,,
GML_5925095e-0c4f-4fdb-b795-c1afd624028c,4,,,,,,,
GML_5797b1ee-67a3-4570-bf37-1249e783efa7,5,,,,,,,
GML_ef7ca0ec-661a-4963-9272-8b8d306f03ed,6,,,,,,,
GML_bd951961-eaa4-4486-b42e-03c4b1a19065,7,,,,,,,
GML_b65ac212-4ca7-4c43-a66b-59a2f61b8f88,8,,,,,,,
GML_97c6686b-99bc-4776-a87f-30125e193ead,9,,,,,,,
GML_3999382c-07fa-4615-85d4-6817fb4d1565,10,,,,,,,
GML_fd1e6d4c-833e-492f-a09b-ee99d7529422,11,,,,,,,
GML_1f100309-ec8e-43a5-8a49-5a4e5259a1cf,12,,,,,,,
GML_cc19f0c9-8020-4bf0-8652-1b0165a5e164,13,,,,,,,
GML_26bb5229-69de-459e-be90-eb320cfbd282,14,,,,,,,
GML_3b022a17-cd20-4fd2-9180-d8f6f8be99cf,15,,,,,,,
GML_34b7a162-4030-4cff-94f6-3d96f74661b5,16,,,,,,,
GML_5761b11f-a6ed-44b9-b3fa-04c3adee652d,17,,,,,,,
GML_b5a37459-9ce0-4aaa-a748-0bd0b3838845,18,,,,,,,
GML_f7c7a693-5b97-4a80-b640-c477390d8623,19,,,,,,,
GML_c7399004-0e90-414f-be48-be89c7f34b91,20,,,,,,,
GML_a23d995b-4f94-4b83-a803-f442487d7dcf,21,"Singapore,3,Science Drive 2,117543",,,,,,
GML_a1df7dc5-2629-4cd6-8d97-cb9687d74efe,22,,,,,,,
GML_b4710c86-01eb-4756-9b40-4d476728e310,23,,,,,,,
GML_08a59d61-b95d-474c-9e9c-473cfed9dc57,24,,,,,,,
GML_9c297681-e854-4da3-ada7-db1083ad7a85,25,,,,,,,
GML_554089ad-7c41-4dae-a4a9-a5903185a0b7,26,,,,,,,
GML_b59d764e-3f78-49bc-9e75-99b59626d061,27,,,,,,,
GML_b5e2df11-16f8-4695-87e1-577221449d1b,28,,,,,,,
GML_780ba233-ee6f-4ce3-8756-ba5754cb107a,29,,,,,,,
GML_e35ccd5e-3560-4b98-96be-6511140b73f1,30,,,,,,,
GML_99204bbe-9d1f-47ce-a7ea-ebfce5d41a14,31,,,,,,,
GML_6b9173c9-4af3-478a-8930-c89f83e4aedc,32,,,,,,,
GML_c405561f-c33e-40b4-9e52-5d56c9c37dc6,33,,,,,,,
GML_b64beb48-3fe3-41ae-ae77-b0315280b05a,34,,,,,,,
GML_edf05646-f81b-43b4-8e62-59c4c38e7593,35,,,,,,,
GML_02a94dd2-b786-4e7a-bf6f-d4a91e0f71aa,36,,,,,,,
GML_8313735d-9ce4-4747-9a1b-c46662d25215,37,,,,,,,
GML_5e15018a-32c6-4f04-a9af-6f3032ae41e1,38,,,,,,,
GML_0ddea95a-7e71-4d07-a031-d43ded82a947,39,,,,,,,
GML_82f4a506-8141-4ef6-9b92-8f8a36686f32,40,,,,,,,
GML_5e07f651-b91c-49d4-b181-8a79c7d869cc,41,"11,Lower Kent Ridge Road",,,,,,
GML_cfb0af6f-c1ca-49ce-972a-e3cacb59b62a,42,,,,,,,
GML_cf4e0c21-265f-47a3-bf61-22d705009722,43,,,,,,,
GML_e320237f-9d50-437e-b727-4c7869f41788,44,,,,,,,
GML_aee7a9f4-2138-4179-b9b3-2b127304c596,45,,,,,,,
GML_1ab4edef-29bd-491d-8304-36075f783597,46,,,,,,,
GML_12de5a3d-0a8e-411d-8894-020b639a1751,47,,,,,,,
GML_622cfdac-75bb-4c16-90dd-d3f7bfa4e15b,48,,,,,,,
GML_3b7eccfa-04c6-4f87-ae84-95886a134ac0,49,,,,,,,
GML_9e07fc9a-8fde-4f3a-ae7b-9720039dd20a,50,,,,,,,
GML_7a66dee4-eb5d-447f-a83e-a8afeab34291,51,,,,,,,
