id;building;year;retrofit;area;gml_id
0;AB;1900;;5248.998649589301;DEBE3D04YY50000BlO
1;AB;1905;;5215.630485692804;DEBE3D04YY50000Rac
2;IWU Transport;1905;;12.20331571372227;DEBE3D04YY50000DCT
3;AB;1905;;1255.4719744186336;DEBE3D04YY50000Lev
4;AB;1905;;3612.9494519600266;DEBE3D04YY500002JB
5;AB;1955;;3442.5436527412758;DEBE3D04YY5000035o
6;AB;1905;;3761.0617984211294;DEBE3D04YY50000Neh
7;IWU Transport;1905;;29.91261184067467;DEBE3D04YY50000R2f
8;AB;;;1369.0008611804578;DEBE3D04YY50000Gm5
9;IWU Technical and Utility (supply and disposal);1905;;4.826311776007491;DEBE3D04YY50000IyF
10;AB;1905;;1069.5266427856673;DEBE3D04YY500002ZF
11;AB;1905;;3332.3001215362647;DEBE3D04YY50000AcP
12;IWU Transport;;;0.0;DEBE3D04YY50000Kt1
13;AB;1905;;1748.0833535666472;DEBE3D04YY50000GXe
14;IWU Trade Buildings;1905;;25.69125343816404;DEBE3D04YY500005l3
15;AB;1905;;5035.866656044968;DEBE3D04YY50000Ct5
16;-;1905;;;DEBE3D00YY1Y50004P
17;AB;1905;;1713.4787111617643;DEBE3D04YY50000Peo
18;-;1905;;;DEBE3D04YY50002bU7
19;AB;1905;;5794.986398460889;DEBE3D04YY50000Ncz
20;AB;1905;;5176.642227194551;DEBE3D04YY500005Oq
21;IWU Culture and Leisure;1905;;1226.903305605286;DEBE3D04YY500001GY
22;AB;1955;;4863.208076812376;DEBE3D04YY50000GZe
23;AB;1955;;3691.6243588280386;DEBE3D04YY50000CMU
24;IWU Transport;;;18.79642624128009;DEBE3D04YY50000KSa
25;AB;1900;;5909.4782079235765;DEBE3D04YY50000QXO
26;AB;1905;;3090.987263923697;DEBE3D04YY500005Lc
27;AB;1905;;958.4768352242565;DEBE3D04YY50000HML
28;AB;1905;;5154.026431976685;DEBE3D04YY50000RXk
29;AB;;;5092.148975937122;DEBE3D04YY50000L1T
30;AB;1905;;5838.030910743278;DEBE3D04YY50000Cyx
31;AB;1905;;3999.7801024576274;DEBE3D04YY500008VN
32;AB;1905;;1737.589370421468;DEBE3D04YY500000uD
33;AB;1905;;3569.0744703623977;DEBE3D04YY50000JUQ
34;AB;1905;;5272.878847930837;DEBE3D04YY50000Jzy
35;-;1905;;;DEBE3D04YY50002bng
36;AB;1905;;5411.838102507555;DEBE3D04YY50000PNl
37;AB;1955;;5950.237871200623;DEBE3D04YY500008AI
38;AB;1905;;5740.67996155937;DEBE3D04YY50000G12
39;AB;1955;;1401.4155480073443;DEBE3D04YY50000PyU
40;IWU Sports Facilities;1905;;8930.295366116587;DEBE3D04YY50000IeR
41;-;1905;;;DEBE3D04YY500005Xu
42;SFH;1905;;86.9997476000846;DEBE3D04YY50000Lg8
43;AB;1905;;2314.5268580015722;DEBE3D04YY500008pH
44;IWU Health and Care;1905;;2375.065889588092;DEBE3D04YY500003I0
45;AB;1905;;6697.216336079911;DEBE3D04YY50000IJD
46;SFH;;;0.0;DEBE3D04YY500004xw
47;-;1905;;;DEBE3D04YY50002ceG
48;AB;1905;;1991.3250519450464;DEBE3D00YY1Ha0003w
49;AB;1900;;1237.1771663768677;DEBE3D04YY50000PO8
50;AB;1905;;7639.837760031354;DEBE3D04YY5000058C
51;AB;1905;;5799.397287581174;DEBE3D04YY500007Wv
52;AB;1905;;1515.1239615973163;DEBE3D04YY500005a4
53;AB;1905;;5575.407332474341;DEBE3D04YY500001MA
54;AB;1905;;2543.6010745021667;DEBE3D04YY50000GBo
55;-;1905;;;DEBE3D04YY50002cQp
56;-;;;;DEBE3D04YY50002cQh
57;-;;;;DEBE3D04YY50002bj7
58;AB;1905;;3825.4369631900076;DEBE3D04YY500002Vz
59;-;;;;DEBE3D04YY50002cb6
60;AB;;;3468.934641187476;DEBE3D04YY500003Pf
61;AB;1905;;4066.848612405489;DEBE3D04YY500002lt
62;-;1905;;;DEBE3D04YY50002blL
63;AB;1905;;5402.8182688035085;DEBE3D04YY500009jQ
64;AB;1905;;4861.844256021498;DEBE3D04YY500009Qd
65;AB;1905;;2019.7831680405661;DEBE3D04YY50000DEj
66;-;1905;;;DEBE3D04YY500009Fz
67;AB;1905;;8152.344160172464;DEBE3D04YY50000COa
68;AB;1905;;6133.004188867162;DEBE3D04YY50000PBN
69;AB;1905;;3360.2218883915557;DEBE3D04YY50000IVk
70;AB;1905;;6526.216365001212;DEBE3D04YY500004IA
71;AB;1905;;7035.466089475507;DEBE3D04YY500006JC
72;-;;;;DEBE3D04YY50002cVL
73;AB;1905;;3161.0172767795725;DEBE3D04YY500006oB
74;AB;1905;;6702.5622023161595;DEBE3D04YY500001FC
75;IWU Technical and Utility (supply and disposal);;;295.6494054486147;DEBE3D04YY50000BBT
76;TH;1905;;630.6212140039678;DEBE3D04YY500006na
77;AB;1955;;2776.9343832905406;DEBE3D04YY50000Mls
78;IWU Transport;1905;;259.62872984640796;DEBE3D04YY50000PbF
79;AB;1905;;4295.409334335078;DEBE3D04YY50000MFN
80;AB;1905;;3151.5046360397914;DEBE3D04YY50000ImQ
81;AB;1905;;1257.0810367714732;DEBE3D04YY50000Rfo
82;AB;1905;;2914.8901020767453;DEBE3D04YY50000AJm
83;AB;1905;;2031.5373760267803;DEBE3D04YY50000Rt0
84;-;;;;DEBE3D04YY50000Qyp
85;AB;1905;;1496.0632288330246;DEBE3D04YY50000ERg
86;AB;1905;;5324.858937659327;DEBE3D04YY500001Wu
87;IWU Transport;1905;;29.94053708920059;DEBE3D04YY50000LDg
88;AB;1905;;1461.7804740355787;DEBE3D04YY500006iV
89;-;;;;DEBE3D04YY50002bxT
90;AB;1905;;2028.9382607910204;DEBE3D04YY500002jr
91;AB;1905;;6244.88272916256;DEBE3D04YY50000FQS
92;IWU Transport;1905;;37.54150323251734;DEBE3D04YY50000JjD
93;AB;1905;;4382.692447950525;DEBE3D04YY50000Hsc
94;AB;1905;;1811.6964703813014;DEBE3D04YY50000Cyt
95;AB;1905;;2917.3604767809584;DEBE3D04YY50000POZ
96;AB;1905;;4439.720098740932;DEBE3D04YY500002cG
97;AB;1905;;2147.442953573459;DEBE3D04YY50000NMB
98;AB;1955;;1186.2976463981472;DEBE3D04YY500008PC
99;IWU Hotels, Boarding, Restaurants or Catering;1955;;3112.627734444556;DEBE3D04YY500002HX
100;AB;;;1832.323028364438;DEBE3D04YY50000D1X
101;AB;1905;;4751.496787072657;DEBE3D04YY50000Oju
102;-;1905;;;DEBE3D04YY50002bpa
103;IWU Transport;1905;;48.52258944055211;DEBE3D04YY50000GQP
104;AB;1905;;4925.252400033155;DEBE3D04YY50000Nwi
105;IWU Transport;1955;;40.712346367869486;DEBE3D04YY5000065F
106;AB;1905;;3769.049509205535;DEBE3D04YY50000EY7
107;AB;1905;;3702.0621887958787;DEBE3D04YY50000GTB
108;AB;1905;;3517.50628479589;DEBE3D04YY50000Cxk
109;AB;;;4879.590829080181;DEBE3D04YY50000CuT
110;IWU Transport;1955;;30.26721407938209;DEBE3D04YY50000A3t
111;AB;1905;;1823.7450720296122;DEBE3D04YY50000AJb
112;AB;1905;;2675.7245283631837;DEBE3D04YY50000NEy
113;AB;1905;;6361.025225612426;DEBE3D04YY50000HGP
114;AB;1905;;3817.4921280151234;DEBE3D04YY50000JZF
115;AB;1905;;4169.740544014682;DEBE3D04YY50000CEY
116;AB;1905;;4814.101796046182;DEBE3D04YY50000HK8
117;AB;1905;;4074.1384479121757;DEBE3D04YY50000Q97
118;AB;1905;;5929.824999495624;DEBE3D04YY50000GKb
119;AB;1905;;2946.881334409223;DEBE3D04YY50000KBl
120;AB;1905;;4085.3397563412163;DEBE3D04YY50002Xut
121;AB;1905;;5263.014636905781;DEBE3D04YY5000085H
122;AB;1905;;5262.380150341173;DEBE3D04YY50000JuW
123;AB;1955;;917.6608559637622;DEBE3D04YY500001tj
124;AB;1900;;2390.5659936457664;DEBE3D04YY50000FEP
125;AB;;;2867.9350537208447;DEBE3D04YY50000EAO
126;IWU School, Day Nursery and other Care;1905;;5141.229741774975;DEBE3D04YY500006zT
127;AB;1905;;4374.399067184008;DEBE3D04YY50000LtY
128;AB;;;4497.232525156747;DEBE3D04YY50000Gtj
