building_function_alkis,alkis_code
Wohngebäude,31001_1000
Wohnhaus,31001_1010
Wohnheim,31001_1020
Kinderheim,31001_1021
Seniorenheim,31001_1022
Schwesternwohnheim,31001_1023
"Studenten-, Schülerwohnheim",31001_1024
Schullandheim,31001_1025
Gemischt genutztes Gebäude mit Wohnen,31001_1100
Wohngebäude mit Gemeinbedarf,31001_1110
Wohngebäude mit Handel und Dienstleistungen,31001_1120
Wohn- und Verwaltungsgebäude,31001_1121
Wohn- und Bürogebäude,31001_1122
Wohn- und Geschäftsgebäude,31001_1123
Wohngebäude mit Gewerbe und Industrie,31001_1130
Wohn- und Betriebsgebäude,31001_1131
Land- und forstwirtschaftliches Wohngebäude,31001_1210
Land- und forstwirtschaftliches Wohn- und Betriebsgebäude,31001_1220
Bauernhaus,31001_1221
Wohn- und Wirtschaftsgebäude,31001_1222
Forsthaus,31001_1223
Gebäude zur Freizeitgestaltung,31001_1310
Ferienhaus,31001_1311
Wochenendhaus,31001_1312
Gartenhaus,31001_1313
Gebäude für Wirtschaft oder Gewerbe,31001_2000
Gebäude für Handel und Dienstleistungen,31001_2010
Bürogebäude,31001_2020
Kreditinstitut,31001_2030
Versicherung,31001_2040
Geschäftsgebäude,31001_2050
Kaufhaus,31001_2051
Einkaufszentrum,31001_2052
Markthalle,31001_2053
Laden,31001_2054
Kiosk,31001_2055
Apotheke,31001_2056
Messehalle,31001_2060
Gebäude für Beherbergung,31001_2070
"Hotel, Motel, Pension",31001_2071
Jugendherberge,31001_2072
Hütte (mit Übernachtungsmöglichkeit),31001_2073
Campingplatzgebäude,31001_2074
Gebäude für Bewirtung,31001_2080
"Gaststätte, Restaurant",31001_2081
Hütte (ohne Übernachtungsmöglichkeit),31001_2082
Kantine,31001_2083
Freizeit- und Vergnügungsstätte,31001_2090
Festsaal,31001_2091
Kino,31001_2092
"Kegel-, Bowlinghalle",31001_2093
Spielkasino,31001_2094
Gebäude für Gewerbe und Industrie,31001_2100
Produktionsgebäude,31001_2110
Fabrik,31001_2111
Betriebsgebäude,31001_2112
Brauerei,31001_2113
Brennerei,31001_2114
Werkstatt,31001_2120
Sägewerk,31001_2121
Tankstelle,31001_2130
