gml_building_function,gml_id,teaser_id,building_function_alkis,alkis_code
residential building,1000,"[SFH, TH, MFH, AB]",Wohngebäude,1000
tenement,1010,,Wohnhaus,1010
tenement,1010,,Förderturm,1010
hostel,1020,,Wohnheim,1020
residential- and administration building,1030,,,
residential- and office building,1040,,,
residential- and business building,1050,,,
residential- and plant building,1060,,,
agrarian- and forestry building,1070,,,
residential- and commercial building,1080,,,
forester's lodge,1090,,,
holiday house,1100,,Gemischt genutztes Gebäude mit Wohnen,1100
summer house,1110,,Wohngebäude mit Gemeinbedarf,1110
office building,1120,,Wohngebäude mit Handel und Dienstleistungen,1120
credit institution,1130,,Wohngebäude mit Gewerbe und Industrie,1130
insurance,1140,,,
business building,1150,,,
department store,1160,,,
shopping centre,1170,,,
kiosk,1180,,,
pharmacy,1190,,,
pavilion,1200,,,
hotel,1210,,Land- und forstwirtschaftliches Wohngebäude,1210
hotel,1210,,Wachturm,1210
youth hostel,1220,,Land- und forstwirtschaftliches Wohn- und Betriebsgebäude,1220
youth hostel,1220,,Windrad,1220
campsite building,1230,,Solarzellen,1230
restaurant,1240,,,
cantine,1250,,Mast,1250
recreational site,1260,,Funkmast,1260
function room,1270,,,
cinema,1280,,Radioteleskop,1280
bowling alley,1290,,Schornstein,1290
casino,1300,,,
industrial building,1310,,Gebäude zur Freizeitgestaltung,1310
factory,1320,,,
workshop,1330,,Kran,1330
petrol / gas station,1340,,,
washing plant,1350,,Hochofen,1350
cold store,1360,,,
depot,1370,,,
building for research purposes,1380,,,
quarry,1390,,,
salt works,1400,,Umformer,1400
salt works,1400,,Befestigung (Burgruine),1400
miscellaneous industrial building,1410,,,
mill,1420,,,
windmill,1430,,Zuschauertribüne,1430
water mill,1440,,Stadion,1440
bucket elevator,1450,,,
weather station,1460,,,
traffic assets office,1470,,Sprungschanze (Anlauf),1470
street maintenance,1480,,,
waiting hall,1490,,Gradierwerk,1490
signal control box,1500,,Historische Mauer,1500
engine shed,1510,,Stadtmauer,1510
signal box or stop signal,1520,,Sonstige historische Mauer,1520
plant building for air traffic,1530,,,
hangar,1540,,,
plant building for shipping,1550,,,
shipyard,1560,,,
dock,1570,,,
plant building for canal lock,1580,,,
boathouse,1590,,,
plant building for cablecar,1600,,,
multi-storey car park,1610,,Überdachung,1610
parking level,1620,,,
garage,1630,,,
vehicle hall,1640,,,
underground garage,1650,,,
building for supply,1660,,,
waterworks,1670,,,
pump station,1680,,,
water basin,1690,,,
electric power station,1700,,,
transformer station,1710,,,
converter,1720,,,
reactor,1730,,,
turbine house,1740,,,
boiler house,1750,,Denkmal,1750
building for telecommunications,1760,,,
gas works,1770,,,
heat plant,1780,,,
pumping station,1790,,,
building for disposal,1800,,,
building for effluent disposal,1810,,,
building for filter plant,1820,,,
toilet,1830,,,
rubbish bunker,1840,,,
building for rubbish incineration,1850,,,
building for rubbish disposal,1860,,,
building for agrarian and forestry,1870,,,
barn,1880,,,
stall,1890,,,
equestrian hall,1900,,,
alpine cabin,1910,,,
hunting lodge,1920,,,
